MovieName,Year,תקציר,שחקנים
"אם את שומעת, תעני [תיעודי]",1995,"מסע בעקבות הרצח הבלתי מפוענח של חנית קיקוס – נערה בת 18 מאופקים, חושף את סיפורה של משפחתה – משפחה שאין לה מקום להתאבל על בתה, בתוך מהומה משטרתית ותקשורתית.במקביל מוארת העיירה אופקים, שמעטים הרגעים ... להמשךמסע בעקבות הרצח הבלתי מפוענח של חנית קיקוס – נערה בת 18 מאופקים, חושף את סיפורה של משפחתה – משפחה שאין לה מקום להתאבל על בתה, בתוך מהומה משטרתית ותקשורתית.במקביל מוארת העיירה אופקים, שמעטים הרגעים בהם נדלק מעליה זרקור, ונחשפת לציבור הישראלי.",
ב-72 לא היתה מלחמה,1995,"יוני בן הארבע עשרה מגיע לנקודת מפנה בחייו, כשהוא מסולק מבית הספר ונאלץ לעמוד בפני אביו האלים והשתלטן. האב מחליט לחנכו על ידי שליחתו לעבוד, אולם יוני ואמו מנסים לצאת כנגד גזירתו של האב. בחיפוש הנואש... להמשךיוני בן הארבע עשרה מגיע לנקודת מפנה בחייו, כשהוא מסולק מבית הספר ונאלץ לעמוד בפני אביו האלים והשתלטן. האב מחליט לחנכו על ידי שליחתו לעבוד, אולם יוני ואמו מנסים לצאת כנגד גזירתו של האב. בחיפוש הנואש אחר בית ספר שיסכים לקבל אל שורותיו את בנה, שולחת האם את יוני לפנימייה, והוא מבין כי עליו לעזוב מאחוריו את ילדותו וחבריו. בין האופוריה של ששת הימים לחרדה של יום כיפור.","actor: אדם אבולעפיה
actor: אוה חדד
actor: שמואל אדלמן
actor: נטלי אטיה
actor: שאול מיטלפונקט
actor: אילת גבאי יגודה
actor: אי""ש חזן
actor: עדי גולן
actor: יפתח קרז'נר
actor: מיקי רבינוביץ
actor: יוסי סגל
actor: בהט קלצ'י
actor: עבד מואסי
actor: ג'רי הימן
actor: לשה שמשוני
actor: ב-72 לא היתה מלחמה
"
באבא לובה [תיעודי],1995,"הזמר, דני בסן, נולד בברזיל ועלה ארצה יחד עם אמו לאחר שאביו נטש אותם. ארבעים שנה אחרי, בנובמבר 1994, יוצא דני לברזיל לחפש את אביו. הסרט העוקב אחר הדרמה האישית בזמן התרחשותה ,מעמיד במבחן מושגים כמו א... להמשךהזמר, דני בסן, נולד בברזיל ועלה ארצה יחד עם אמו לאחר שאביו נטש אותם. ארבעים שנה אחרי, בנובמבר 1994, יוצא דני לברזיל לחפש את אביו. הסרט העוקב אחר הדרמה האישית בזמן התרחשותה ,מעמיד במבחן מושגים כמו אהבה, משפחה ושייכות.","actor: דני בסן
actor: דני בסן
"
הכוכב הכחול,1995,"סיפור כמעט אמיתי, על בן-אדם כמעט נורמלי, שכמעט הגיע לכוכב הכחול. עלילת הסרט מגוללת את סיפורו של מולי, המתכונן לנסוע למזרח הרחוק, אבל תרמילו נגנב ומסעו מקבל תפנית בלתי צופיה, שתוביל אותו לכוכב הכחול... להמשךסיפור כמעט אמיתי, על בן-אדם כמעט נורמלי, שכמעט הגיע לכוכב הכחול. עלילת הסרט מגוללת את סיפורו של מולי, המתכונן לנסוע למזרח הרחוק, אבל תרמילו נגנב ומסעו מקבל תפנית בלתי צופיה, שתוביל אותו לכוכב הכחול. ""הכוכב הכחול"" הוא סרט מסע, כאשר החיפוש אחר התרמיל הגנוב והדמות המיסתורית, אשר העלימה אותו, יכול להתפרש, בעצם, כחיפוש של דור שלם אחר זהותו.","actor: אלון אבוטבול
actor: זהר דינר
actor: רפי דינר
actor: אילן פאתחי
actor: טליה בנטביץ'
actor: דניאל בנטואיץ'
actor: גור בנטביץ'
actor: נירית כצנשטיין
actor: זורבה
actor: דן שי פוק עופרי
actor: יוסי בן-יאיר
actor: נועה לוי
actor: אליעזר אפלבאום
actor: הכוכב הכחול
actor: אולק נצר
actor: רות פרחי
actor: עדי עציון
"
זכרון דברים,1995,"עיבוד חופשי לרומן של יעקב שבתאי, סרטו של גיתאי מתמקד בשלושה גברים, צברים ישראלים בני כארבעים, החיים בתחושת החמצה. המשבר העובר עליהם הוא במידה רבה משבר של דור שלם – זה של בני ונכדי דור המייסדי... להמשךעיבוד חופשי לרומן של יעקב שבתאי, סרטו של גיתאי מתמקד בשלושה גברים, צברים ישראלים בני כארבעים, החיים בתחושת החמצה. המשבר העובר עליהם הוא במידה רבה משבר של דור שלם – זה של בני ונכדי דור המייסדים שאינם מסוגלים להיאחז עוד במיתוסים ובמערכת הערכים החלוציים. תחושות הריק הקיומי בסרט מעוצבות לא רק ברמת הנרטיב והדיאלוגים, אלא גם בעבודת המצלמה של רנטו ברטה המתמקדת בארכיטקטורה המתפוררת של תל-אביב הקופחת תחת השמש הלוהטת. (סינמטק תל אביב)","actor: אסי דיין
character: צזאר
actor: עמוס גיתאי
character: גולדמן
actor: עמוס שוב
character: ישראל
actor: ליא קניג
character: סטיפנה
actor: ריקי גל
character: רוחמה
actor: מיכל זוארץ
character: אליעזרה
actor: שרון הכהן
character: תרצה
actor: גליה שפרינג
character: אלה
actor: מאיה קדישמן
character: דיתה
actor: שמואל קלדרון
character: בש
actor: מנחם גולן
character: נלו
actor: עזריה רפפורט
character: ארווין
actor: נטליה וויטולביץ מנור
character: זינה
actor: דן הרדן
character: מקס
actor: צבי שטולפר
character: מאנפרד
actor: ורוניקה גוטליב
character: פאולה
actor: שמואל וולף
character: איש בבית הקברות
actor: שרון רג'יניאנו
character: ברמן
actor: איתן פריבר
character: יואל
actor: חנה ריבר
character: ציפורה
actor: דוד כהן
character: צבי
actor: יובל חבקין
character: שמואל
actor: חיים רינסקי
character: נהג מונית
actor: אריק לבנת
character: נגן סקסופון
actor: נדב רובינשטיין
character: נגן פסנתר
actor: דבורה ויזן
character: יהודית מייזלר
actor: הלנה צ'רקסוב
character: כלה
actor: יצחק לוי
character: איש מבוגר בבר
actor: דבי סער
character: בחורה בבר
actor: עירית ייני
character: בחורה בבר
actor: שוש גרינברג
character: בחורה בבר
actor: משפחת גרשוביץ
character: זוג מבוגר בבר
actor: יובל כהן
character: בחור בבר
actor: גבי בניאשווילי
character: בחור בבר
actor: זכרון דברים
"
חולה אהבה בשיכון ג',1995,"בשכונה נידחת גר לו ויקטור עם אמו ומנהל מתוך ביתם תחנת כבלים פירטית. כל תושבי השכונה מכירים אותו: ויקטור מסתובב ביניהם, בודה מדמיונו סיפורים על הרפתקאות מיניות סוערות שהיו לו – סיפורי אהבה עצו... להמשךבשכונה נידחת גר לו ויקטור עם אמו ומנהל מתוך ביתם תחנת כבלים פירטית. כל תושבי השכונה מכירים אותו: ויקטור מסתובב ביניהם, בודה מדמיונו סיפורים על הרפתקאות מיניות סוערות שהיו לו – סיפורי אהבה עצובים עם נשים מיבבות – מעין שוטה־כפר מלאנכולי שלא תמיד מבחין בין מציאות לדמיון וזוכה מכולם ליחס של חיבה וסלחנות. הכל משתנה כאשר הוא רואה בלונדינית מקסימה וזרה מסתובבת בשכונה – מיכאלה, שחקנית מת""א שעברה לגור כאן כדי להדריך דרמה במתנ""ס. מהרגע הראשון שהוא רואה אותה יודע ויקטור כי היא האשה של חייו. גם אם מיכאלה דוחה אותו מעליה, הוא ממשיך לחזר בסיגנונו החינני והיחודי. מיכאלה מצידה כבר מזמינה משטרה כדי לסלק את הרומנטיקן המגוחך שנטפל אליה. אבל השכונה כולה נסחפת אל סיפור האהבה האבסורדי, שמצית מחדש כמה לבבות כבויים. מונולוגים כואבים מועברים אל מיכאלה דרך הטלויזיה בכבלים מפיו של חולה אהבה שלאט לאט מאבד את שפיותו. הסרט עוסק ברגע שבו מפסיק החיזור ומתחילה ההטרדה, ברגע שבו הופך החיזור מאמצעי למטרה. הפרספקטיבה שדרכה מוצגים הארועים היא דוקא זו של הרומנטיקן הבלתי נלאה – נקודת המבט שלו שלא מצליחה לתפוס את הפער העצום בינו ובין אהובתו.","actor: משה איבגי
character: ויקטור
actor: חנה אזולאי הספרי
character: לבנה
actor: אביגיל אריאלי
character: מיכאלה
actor: טוביה גלבר
character: פסח
actor: שמיל בן ארי
character: חרפוף
actor: אורי גבריאל
character: אליהו
actor: יוסי סקוראל
character: בבר
actor: ראובן דיין
character: דוד הירקן
actor: אברהם סלקטר
character: הרב שמואל
actor: דוד דנינו
actor: אלברט אילוז
character: שוטר
actor: נסים זוהר
character: מנהל בית החולים
actor: קלודין בן-נעים
character: אמא
actor: דלית כרמל
character: שוטרת
actor: מנשה נוי
character: גדי
actor: דן וולמן
character: נתן הבמאי
actor: איבון הנטר
character: מתפשטת במקלחת
actor: רבח נזי
character: אח סלים
actor: בוריס סבידנסקי
character: אקורדיוניסט
actor: ולרי קוליק
character: אקורדיוניסט
actor: יגאל עדיקא
character: ברטו
actor: פנינה טורנה
character: אוולין
actor: סיגל שמעוני
character: מוכרת בוידאו
actor: נגה רוט-גור
character: מוכרת בוידאו
actor: חיים בנאי
character: לקוח בוידאו
actor: אבנר דן
character: מוכר פרחים
actor: בבי נאמן
character: מוריס
actor: סיגל שמעוני
character: אישה מאשימה
actor: נורית בנאי
character: אישה ערמומית
actor: אורלי קטן
character: אישה טרגית
actor: מוטי בן ישי
character: חולה מאיר
actor: חן בלום
character: אביבית
actor: אשי אטלס
character: אורן
actor: שירה פרבר
character: נאנחת
actor: יורם מאודה
character: נהג מונית
actor: הכלבה מגי
character: כלבה
"
ילדי קניון הזהב,1995,"שלי החולמנית ואחיה, בורחים מהבית, לא לפני שהם משאירים פתק נוגע ללב לאביהם האלמן בקשר לחברתו ""המכשפה"" . הם בורחים לקניון ונקלעים לשרשרת הרפתקאות שלא ישכחו לעולם. סרט הרפתקאות לילדים ולכל ה... להמשךשלי החולמנית ואחיה, בורחים מהבית, לא לפני שהם משאירים פתק נוגע ללב לאביהם האלמן בקשר לחברתו ""המכשפה"" . הם בורחים לקניון ונקלעים לשרשרת הרפתקאות שלא ישכחו לעולם. סרט הרפתקאות לילדים ולכל המשפחה.","actor: אילאיל ברתנא
character: שלי
actor: טל גורי
character: דין
actor: מיכל זוארץ
character: מיכל
actor: מיטל דוהן
character: ריטה
actor: דני שגב
character: יורם
actor: צחי נוי
character: גנב
actor: חן חגי
character: גנב
actor: סיגלית פוקס
character: רוזה
actor: צביקה שוורצברג
character: שיץ
actor: הילה מסיקה
character: קרן
actor: רותם כהן
character: תום
actor: ילדי בית ספר רמת אביב ג'
character: בתפקיד עצמם
actor: שחר ושוקי
character: עיוור ובובה
actor: מנחם מיארה
character: מנכ""ל הקניון
actor: סמי טהרני
character: מוכר בחנות
"
ירית פעם במישהו? [תיעודי],1995,"מיכל אביעד חודרת אל תוך עולמה של קבוצת מילואימניקים העושים את שרותם הצבאי לאורך הגבול הסורי ברמת הגולן. 32 יום בבונקרים, בעמדות, בסיורים ובחדרי המגורים של אנשי הפלוגה, מהווים הצצה נדירה אל תוך נדבך... להמשךמיכל אביעד חודרת אל תוך עולמה של קבוצת מילואימניקים העושים את שרותם הצבאי לאורך הגבול הסורי ברמת הגולן. 32 יום בבונקרים, בעמדות, בסיורים ובחדרי המגורים של אנשי הפלוגה, מהווים הצצה נדירה אל תוך נדבך מרכזי בהוויה הישראלית. בהדרגה, ולא בלי קשיים, מצטייר מרקם עשיר ומרתק של קבוצת גברים בני 35-45 המנסים להגדיר, בינם לבין עצמם ובינם לבין האישה שנכנסה אל תוך עולמם הסגור, מהי זהות גברית, חברות, משפחה ונשים. זוהי התבוננות בתרבות הגברית הישראלית, המתובלת בהומור ובאירוניה, כפי שהיא נראית בעיניים זרות לחלוטין – עיניים של אשה.","actor: מיכל אביעד
actor: אילן אמזלג
actor: מוטי אסטרוטי
actor: משה ברוך
actor: מוטי גת
actor: הרצל זכאי
actor: שאול חסון
actor: בילי טינסקי
actor: יואב כהן
actor: ראובן צ'יצ'יק
actor: אהרון קינרייך
actor: זיו שחורי
actor: שגיא שילר
actor: חיילי פלוגה מ'
"
לילה לבן,1995,"סרט המתאר תהליך גמילת אסיר עבריין, צ'רלי, מסמים, בעזרת אסיר אחר, שלמה, ובעזרת מספר אנשי מפתח משירות בתי-הסוהר, אשר נותנים ידם להצלחת הפרוייקט. הסרט מתאר גם את קשר החברות הנוצר בין שני האסירים שצמחו... להמשךסרט המתאר תהליך גמילת אסיר עבריין, צ'רלי, מסמים, בעזרת אסיר אחר, שלמה, ובעזרת מספר אנשי מפתח משירות בתי-הסוהר, אשר נותנים ידם להצלחת הפרוייקט. הסרט מתאר גם את קשר החברות הנוצר בין שני האסירים שצמחו סביב אידיאולוגיות חברתיות שונות, והמקום, למרות האופי הקשה, מצליח לחבר בין קצוות, לגשר על הפערים וליצור חברות עמוקה וחיובית.","actor: שלום שמואלוב
character: צ'ארלי
actor: שרון אלכסנדר
character: שלמה
actor: שמיל בן ארי
character: קמ""ן
actor: גילי בן אוזיליו
character: ניצה
actor: רענן חפץ
character: ברומה
actor: עידן אלתרמן
character: יונתן
actor: ששי סמוכה
character: קוזו
actor: ששי סעד
character: קב""ט
actor: שלמה רז
character: חביב
actor: לאורה ריבלין
character: רוז
actor: ארנון צדוק
character: דודא
actor: עינת וייצמן
character: בת של צ'ארלי
actor: ירמי יעקב
character: דייר תא צ'ארלי
actor: שלמה בלייס
character: דייר תא צ'ארלי
actor: אורי משולם
character: דייר תא צ'ארלי
actor: סימן בן עזרא
character: דייר תא צ'ארלי
actor: עופר שמעון
character: דייר תא דודא
actor: יוסי אוחנה
character: דייר תא דודא
actor: אבי חסן
character: דייר תא דודא
actor: אמנון עובד
character: דייר תא דודא
actor: אמיליה רון
character: מבקרת בחדר ביקורים
actor: יפית ברשי
character: מבקרת בחדר ביקורים
actor: אבי הררי
character: מנהל הכלא
actor: עמי ועקנין
character: קב""ט חדש
"
לילסדה,1995,"משפחה אחת מתכנסת לחגוג את ליל הסדר המסורתי ורק אחד חסר, יזהר, בן הזקנים שנהרג בפעילות צבאית. במשך יומיים מתערבבים סיפורי הדמויות זה בזה ויוצרים דרמה דחוסה ומסוחררת של אהבה, בגידה, געגועים, כעסים, צ... להמשךמשפחה אחת מתכנסת לחגוג את ליל הסדר המסורתי ורק אחד חסר, יזהר, בן הזקנים שנהרג בפעילות צבאית. במשך יומיים מתערבבים סיפורי הדמויות זה בזה ויוצרים דרמה דחוסה ומסוחררת של אהבה, בגידה, געגועים, כעסים, צחוק, דמעות, שירים והרבה מאוד אוכל. ""לילסדה"" הוא קומדיה עצובה שעלילתה מתפתלת בתוך עולם צבעוני, בית חלומות הטובע בירק ופרחים.","actor: גילה אלמגור
character: יונה
actor: יוסף שילוח
character: מיכאל
actor: אלון אבוטבול
character: נתנאל
actor: ענת וקסמן
character: גילה
actor: אריה מוסקונה
character: ריקי
actor: אסתי זקהיים
character: דליה
actor: דרור קרן
character: שי
actor: דנה ברגר
character: מרגו
actor: איילת חרדון
character: בושמת
actor: שושנה דואר
character: סבתא
actor: עופר סקר
character: מיקי
actor: יותם שאו
character: כפיר
actor: מיכל שר
character: נועה
actor: מיקי קם
character: דורונה
actor: איצ'ו אביטל
character: אלחנן
actor: סטפני מדיין
character: תמיר
actor: אלון בן-דרור
character: שליח
"
