Name,Biography,DateOfBirth,WikiDataUrl,WikiDataId
יהודה ברקן,"נולד בנתניה, להורים יוצאי פולין וצ'כוסלובקיה. בצבא שירת בהנדסה קרבית, ובהמשך שולב בלהקת פיקוד צפון. בתחילת דרכו הקולנועית עשה תפקידים קטנים בסרטים ""הוא הלך בשדות"" (1968), ""הבן האובד&... להמשךנולד בנתניה, להורים יוצאי פולין וצ'כוסלובקיה. בצבא שירת בהנדסה קרבית, ובהמשך שולב בלהקת פיקוד צפון. בתחילת דרכו הקולנועית עשה תפקידים קטנים בסרטים ""הוא הלך בשדות"" (1968), ""הבן האובד"" (1969) ו""הפריצה הגדולה"" (1970). ב-1970 קיבל תפקיד ראשי ראשון בסרט ""לופו"" (1970) של מנחם גולן, שהתבסס על דמות העגלון הקשיש מהמערכונים, שברקן ביצע בלהקת פיקוד צפון ו""להקת פיקוד דיזנגוף"". אחרי הצלחת הסרט, המשיך לככב בסרטים נוספים של גולן: ""מלכת הכביש"" (1971), ""כץ וקרסו"" (1971) ו""הבריחה אל השמש"" (1972). לשיא הצלחתו הגיע, כששיחק את התפקידים הראשיים בצמד הקומדיות הפופולריות של בועז דוידזון ""צ'רלי וחצי"" (1974) ו""סנוקר"" (1975), לצדו של זאב רווח.
בראשית שנות השמונים הפך להיות מפיק קולנוע עצמאי. יותר מכל, היה מזוהה עם סדרת סרטי מתיחות שהפיק וביים, וזכתה להצלחה עצומה, ביניהם ""חייך, אכלת אותה"" (1980), ""המתיחה הגדולה"" (1984) ו""ניפגש בחוף"" (1986). כמו כן, הפיק את שלושת סרטי ""אבא גנוב"" המצליחים ושיחק בהם בתפקיד הראשי. ב-1990 הפיק את המלודרמה הצבאית הפופולרית ""נשיקה במצ""ח"" (1990) ושיחק בה בתפקיד הראשי. בשנת 1994 נאלץ לכנס לחובות עצומים בעקבות כשלון הסרט ""מחפשת בעל על ארבע"", שבו הפיק ושיחק, ונאלץ לסגור את חברת ההפקה שלו. בהמשך חזר בתשובה, והופיע במספר סרטי קולנוע חרדיים, אך במקביל המשיך להבליח גם בסרטים וסדרות טלוויזיה חילוניות. תפקידו המאוחר הבולט היה בסדרת הטלוויזיה ""פלפלים צהובים"" (2010).",29 במרץ 1945,www.wikidata.org/wiki/Q2909679,Q2909679
אלונה קמחי,"
קמחי נולדה בלבוב שבאוקראינה הסובייטית בשם אילונה גייקלה. הוריה, מרק ודולורס, היו כימאים במקצועם. אביה נפטר כשהייתה בת 5, וב-1972 העלייה מברית המועצות בשנות ה-70 עלתה לישראל עם אמה. היא בת דודתו של מיכאל דורפמן. 

אלונה קמחי גדלה והתחנכה בקריית ביאליק. את שירותה בצה""ל עשתה בנח""ל.

למדה משחק בבית הספר ""בית צבי"" ושיחקה בקולנוע, בטלוויזיה ובתיאטרון, בין היתר הופיעה בסרטים אבא גנוב ואבא גנוב 2 בתפקיד עורכת הדין גליה רשף.

החלה לפרסם מפרי עטה בשנת 1996. ספרה הראשון, ""'''אני אנסטסיה'''"", אותו הוציאה בעילום שם, זיכה אותה ב""פרס אקו""ם"" ליצירה בעילום שם לשנת 1996. לאחר ספר ביכורים זה פרסמה עוד ארבעה ספרים, שתורגמו לשפות רבות. בשנת 2001 הוענק לה פרס ראש הממשלה לסופרים עבריים.

כתבה את המילים לשירים רבים שהלחין ושר יזהר אשדות וגם לזמרים רבים אחרים. שיריהם המשותפים הראשונים התפרסמו בסוף שנות השמונים בביצועו של הזמר אדם (זמר) אדם, ובהם ""סוד (שיר) סוד"", ""הכרזת מלחמה"", ""נוסע רחוק"" ו""שקיעה אחת"". ליזהר אשדות (אלבום, 1992) אלבום הבכורה של אשדות מ-1992 כתבה קמחי חלק מהשירים, ובהם ""הלילות שלנו"", ""איש השוקולד"" ו""נועה של הים"". מהשירים שכתבה לאלבומו השני שיצא ב-1994 התפרסמו ""צילו של יום קיץ"", ""הבלדה על"" ו""הירושימה שלי"". גם באלבומיו הבאים של אשדות נכללו מספר שירים פרי עטה של קמחי, ובהם ""בכל פעם שאני מתאהב"", ""כל האור שרק אפשר לשאת"", ""סתיו אנגלי"", ""מטעי הדובדבן של אוקראינה"" ,""רגע"" ו""ערב בלי טלפון"". כמו כן השתתפה קמחי בכתיבת השירים ""מבול"" של רונה קינן ו""בוכה אל הקירות"" של דויד ברוזה.

השיר ""עניין של הרגל"", שאת מילותיו כתבה קמחי וביצע יזהר אשדות בשנת 2012, מתאר את ההשפעה השלילית שיש לדעת המחברת לשגרת השליטה באוכלוסייה אזרחית בשטחי יהודה והשומרון על חיילי צה""ל. השיר נפסל להשמעה ב""גלי צה""ל"" בתוכניות שאינן תוכניות אקטואליה. תחנות רדיו נוספות בחרו שלא לשדרו.

קמחי היא חברת מרצ ובהבחירות לכנסת התשע עשרה בחירות לכנסת התשע עשרה ב-2013 הוצבה ברשימתה במקום ה-89.

בספטמבר 2014 פרסמה קמחי סטטוס פייסבוק שבו כתבה על העיתונאי והסופר הישראלי-אמריקני טוביה טננבום (מחבר הספר 'תפוס ת'יהודי'): ""את הטננבאום הזה הגיע הזמן להעלות על מוקד. יש לי כמה ידידים בלוד שישמחו לעשות את העבודה השחורה וסלמאת בחולות של ראשון לציון ראשון""{{הערה {{nrg מערכת אלונה קמחי: להרוג כותב הספר ""תפוס ת'יהודי"" 617/629 4 בספטמבר 2014 1 2}}}}. בעקבות הסערה שעורר הסטטוס ופניות להיועץ המשפטי לממשלה יועץ המשפטי לממשלה בטענה שמדובר בהסתה לרצח התנצלה קמחי ואמרה כי התבדחה{{הערה {{הארץ מזרחי, יהודי ובחורה עירומה נכנסים לפייסבוק מזרחי, יהודי ובחורה עירומה נכנסים לפייסבוק 1.2430025 10 בספטמבר 2014}}}}.

ב-18 במרץ 2015, למחרת הבחירות לכנסת העשרים, פרסמה קמחי בפייסבוק סטטוס שבו כתבה: ""לכל עם יש את השלטון שהוא ראוי לו. תחי הטיפשות, הרשעות והתודעה הכוזבת. תשתו ציאניד ניאנדרטלים מזוינים. ניצחתם. רק המוות יציל אתכם מעצמכם"". לאחר שחוללו הדברים סערה ציבורית מחקה קמחי את הסטטוס ואמרה שהדברים נכתבו ""בלהט יצרים""{{הערה 1=http://e.walla.co.il/item/2838849?m=1 אלונה קמחי: ""תשתו ציאניד ניאנדרטלים מזוינים. ניצחתם"", באתר וואלה!, 18 במרץ 2015}}.

",20 ביוני 1963,www.wikidata.org/wiki/Q271816,Q271816
בן ציון,"
",,www.wikidata.org/wiki/Q6529996,Q6529996
קרן מור,"
",30 בדצמבר 1964,www.wikidata.org/wiki/Q528141,Q528141
אורי שמיר,,7 ביולי 1951,www.wikidata.org/wiki/Q68227773,Q68227773
ג'טה לוקה,,5 בספטמבר 1921,www.wikidata.org/wiki/Q7002616,Q7002616
לני רביץ,"
רביץ נולד וגדל בקונטיקט, ארצות הברית. מגיל צעיר שיחק בהצגות רבות של שייקספיר כמו ""המלך ליר"", ""הנרי החמישי (מחזה) הנרי החמישי"", ""קומדיה של טעויות"", ""הלילה השנים עשר"" ועוד. בגיל 28 ביקר בישראל ובזמן ביקור באילת הכיר את מי שתהיה אשתו, עליזה. כעבור שנה שינה את מעמדו לעולה חדש, התגורר באילת ועבד כמורה לאנגלית. ב-1967 עזב עם משפחתו לאלבמה כדי לסיים את לימודי החינוך, לימד בבית ספר לאפרו-אמריקאים, והיה למורה הלבן הראשון שם. כמו כן ביים מחזות זמר רבים כמו: ""איש המוזיקה"", ""ביי ביי בירדי"", ""ינקיז"" ועוד. בשנת 1973 חזרו לישראל והתגוררו בנוף הגליל (נצרת עילית דאז).
בשנות השבעים והשמונים של המאה העשרים שימש מפקח מטעם מחוז צפון של משרד החינוך על הוראת האנגלית בישראל הוראת האנגלית.
בשנת 1976 היה בין מקימי התיאטרון הראשון בנצרת ולקח חלק בבימוי הצגות.
ב-1994 חדל מלביים הצגות בתיאטרון.
ב-1986 פתח את מכון גשטלט - מכון לצחוק, הומור ולאינטליגנציה רגשית.

לני רביץ הוא אביהם של השחקן נתן רביץ, השחקן והסטנדאפיסט דורון רביץ והמורה לתיאטרון אורית (אורי) רביץ. בשנת 2003 הופיע רביץ יחד עם שני בניו בהצגה ""לני רביץ ובניו קבלני צחוק"".

בנובמבר 2012 העניק לו איגוד אמני ישראל אות הוקרה על תרומתו לתרבות הישראלית לאורך השנים.
{{הערה 1=
http://www.nrg.co.il/online/47/ART2/411/864.html?hp=47&cat=306 עושים כבוד: 11 אמנים יקבלו אות הוקרה מיוחד, באתר nrg מעריב, 28 באוקטובר 2012
}}

",15 ביולי 1936,www.wikidata.org/wiki/Q6853232,Q6853232
דן הרדן,"
הרדן נולד בבוקרשט ובתחילת דרכו שיחק בתיאטרון העירוני של העיר, ב-1974 עלה לישראל.

בהתיאטרון הקאמרי תיאטרון הקאמרי הופיע במחזות ""אילוף הסוררת"" י""יוליוס קיסר"".

ב-1987 גילם שופט בסרט אבא גנוב. ב-1988 שיחק את אבא של בנצי בסרט האחרון בסרטי אסקימו לימון בלוז לקיץ. ב-1990 שיחק רופא פסיכיאטר בסרט נשיקה במצ""ח.

ב-1993 הופיע בסרט מחפשת בעל על ארבע. ב-1995 שיחק בסרט ""זיכרון דברים"" המבוסס על הזכרון דברים (ספר) ספר באותו שם.

",15 במרץ 1926,www.wikidata.org/wiki/Q105395537,Q105395537
זארה וארתאניאן,,,noWikiData,noWikiData
יעקב כהן,,,www.wikidata.org/wiki/Q2407312,Q2407312
